cve,descrip
10,Puesto fijo en la vía pública
11,"Local comercial: tienda de abarrotes, ferretería, etcétera"
12,"Taller de producción: tortillería, panadería, carpintería, etc."
13,"Taller de servicio de reparación: mecánico, eléctrico, etc."
14,"Local de servicios: restaurante, fonda, etcétera, que no son parte de una cadena"
15,"Local de servicios profesionales, técnicos especializados, personales, educativos, asistenciales, etcétera"
16,"Establecimientos de medianas y grandes dimensiones de producción, construcción y extracción: fábricas, minas, pozos petroleros, etcétera"
17,"Establecimientos de medianas y grandes dimensiones comerciales, financieros, transportes, salud, educación y otros servicios: supermercados, bancos, líneas de autobuses, clínicas, escuelas, hoteles, etcétera"
18,"Establecimiento de medianas y grandes dimensiones, agropecuarios y pesqueros"
19,"Oficinas de dependencias administrativas del gobierno federal, estatal, o municipal"
20,Otro
