nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
Código único de identificación del hogar,5,C,unhhid,,00001...20218
Clave Única del Hogar,5,C,cunicah,,00001...20218
Número de Persona,3,C,np,,010...064
Subhogar levantamiento 2021,2,C,subhog_21,subhog_21,"00...04,11...21,31...40,70...72,77"
Tipo de Entrevista,1,C,tipent_21,tipent_21,1...5
Motivo de la Entrevista Proxy 2021,1,C,reason_proxy_21,reason_proxy_21,1...4
Entrevista 2021 completa/incompleta,1,C,nocomplete_21,,"0,1"
Resultado de Ejercicios Cognoscitivos,1,C,resul_ec_21,resul_ec_21,1...4
Factor Hogar,5,C,factorh_21,,26...98872
Factor individual,6,C,factori_21,,13...116633
Edad,3,C,age_21,,"023...106,888,999"
Sexo,1,C,sex_21,sex_21,"1,2"
Tamaño de Localidad,1,C,tam_loc_21,tam_loc_21,1...4
Unidad Primaria de Muestreo de Diseño,8,C,upm_dis_21,,00000001...00012514
Estrato de diseño,1,C,est_dis_21,est_dis_21,1...4
Residencia actual en estados de alta migración desde 2021,1,C,eam_21,eam_21,"0,1"
Años de Educación (solo para nuevas parejas),2,C,yrschool_21,,00...19
Años de Educación,2,C,yrschool,,00...22
Pregunta A1.21 Entrevistador: Registra si el informante es:,1,C,a1_21,a1_21,"1,2"
"Pregunta A2A1.21 En la última entrevista usted dijo que su fecha de nacimiento era (FECHA), ¿es esto correcto?",1,C,a2a1_21,a2a1_21,"1,2"
Pregunta A2A2.1.21 Día (PRECARGA),2,C,a2a2_1_21,a2a2_1_21,"01...31,88,99"
Pregunta A2A2.2.21 Mes (PRECARGA),2,C,a2a2_2_21,a2a2_2_21,"01...12,88,99"
Pregunta A2A2.3.21 Año (PRECARGA),4,C,a2a2_3_21,a2a2_3_21,"1915...1998,8888,9999"
Pregunta A2B.21 ¿Cuál es su edad en años cumplidos?,3,C,a2b_21,a2b_21,"023...106,888,999"
Pregunta A3.21 ¿Actualmente usted?,1,C,a3_21,a3_21,"1...5,7"
Pregunta A4.21 ¿Usted continúa casado(a) (en unión) con la misma persona que (en AÑO/la última vez que hablamos con usted)?,1,C,a4_21,a4_21,"1,2,8,9"
Pregunta A5.21 ¿Su último matrimonio (unión) terminó después de la última vez que hablamos con usted?,1,C,a5_21,a5_21,"1,2,8,9"
Pregunta A6.21 ¿Ese matrimonio (unión) comenzó después de la última vez que hablamos con usted?,1,C,a6_21,a6_21,"1,2,8,9"
"Pregunta A7.21 En la última entrevista usted dijo que tenía (NÚMERO) hijos(as) que nacieron vivos, ¿es esto correcto?",1,C,a7_21,a7_21,"1,2"
Pregunta A7A.21 ¿Cuántos hijos e hijas que nacieron vivos ha tenido usted?,2,C,a7a_21,a7a_21,"00...22,88,99"
"Pregunta A8.21 De los hijos e hijas que nacieron vivos, ¿cuántos viven todavía?",2,C,a8_21,a8_21,"00...21,88,96,99"
Pregunta A13A.21 ¿Cuántos años ha vivido en esta localidad?,2,C,a13a_21,a13a_21,00...99
"Pregunta A13B.21 Desde la última vez que hablamos con usted, ¿se cambió de domicilio?",1,C,a13b_21,a13b_21,"1,2,8,9"
"Pregunta A14.21 Desde la última vez que hablamos con usted, sin contar vacaciones o visitas cortas, ¿ha trabajado o vivido usted en Estados Unidos?",1,C,a14_21,a14_21,"1,2,7...9"
Pregunta A15.21 ¿Fue esta la primera vez que fue a Estados Unidos a trabajar o a vivir?,1,C,a15_21,a15_21,"1,2,8,9"
Pregunta A16A.21 ¿En qué año se fue en esta primera ocasión a Estados Unidos?,4,C,a16a_21,a16a_21,"1950...2021,8888,9999"
Pregunta A16B.21 ¿Cuál diría usted que fue la razón principal por la que fue a Estados Unidos?,1,C,a16b_21,a16b_21,1...9
"Pregunta A17.21 Para esa primera estadía en Estados Unidos, cuando usted salió de la república mexicana, ¿conocía a alguien que le ayudaría a establecerse en el lugar a donde fue?",1,C,a17_21,a17_21,"1,2,8,9"
"Pregunta A19.1.21 Aproximadamente, ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión? - AÑO",4,C,a19_1_21,a19_1_21,"1950...2021,8888,9999"
"Pregunta A19.2.21 Aproximadamente, ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión? - EDAD",3,C,a19_2_21,a19_2_21,"034...077,888,999"
"Pregunta A20.21 En total cuando vivió en Estados Unidos, ¿usted vivió principalmente en áreas urbanas (ciudades) o en rurales (pueblo, granja, rancho)?",1,C,a20_21,a20_21,"1...3,8,9"
"Pregunta A21.21 En total, ¿como por cuántos años ha trabajado o vivido usted en Estados Unidos?",2,C,a21_21,a21_21,01...99
"Pregunta A22.21 Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted?",2,C,a22_21,a22_21,"01...08,88,99"
"Pregunta A22A.21 Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted? - ESPECIFICA",160,C,a22a_21,,"A...Z,0...9"
"Pregunta A23.21 Para esa estadía en Estados Unidos, ¿generalmente usted enviaba dinero a su familia en México?",1,C,a23_21,a23_21,"1,2,8,9"
Pregunta A27.1.21 ¿Su intención era que ese dinero se usara como ahorro para cuando regresara a México?,1,C,a27_1_21,a27_1_21,"0,1"
Pregunta A27.2.21 ¿Su intención era que ese dinero se usara para mantener a su familia?,1,C,a27_2_21,a27_2_21,"0,1"
Pregunta A27.3.21 ¿Su intención era que ese dinero se usara para mejorar su propiedad en México?,1,C,a27_3_21,a27_3_21,"0,1"
Pregunta A27.4.21 ¿Su intención era que ese dinero se usara para comprar muebles u otras cosas caras en la casa?,1,C,a27_4_21,a27_4_21,"0,1"
Pregunta A27.5.21 ¿Su intención era que ese dinero se usara...? - OTRA,1,C,a27_5_21,a27_5_21,"0,1"
Pregunta A27.6.21 ¿Su intención era que ese dinero se usara para ayudar a sus familiares por la situación de la pandemia de COVID-19?,1,C,a27_6_21,a27_6_21,"0,1"
Pregunta A27.8.21 ¿Su intención era que ese dinero se usara...? - NO RESPONDE,1,C,a27_8_21,a27_8_21,"0,1"
Pregunta A27.9.21 ¿Su intención era que ese dinero se usara...? - NO SABE,1,C,a27_9_21,a27_9_21,"0,1"
Pregunta A28.21 Ahora piense acerca de la última vez que fue a trabajar o a vivir en Estados Unidos ¿cuál diría usted que fue la razón principal por la que fue?,1,C,a28_21,a28_21,1...9
"Pregunta A29A1.21 En esa última vez, después de que vivió o trabajó allá, ¿en qué año o qué edad tenía usted cuando regresó? - AÑO",4,C,a29a1_21,a29a1_21,"1950...2021,8888,9999"
"Pregunta A29A2.21 En esa última vez, después de que vivió o trabajó allá, ¿en qué año o qué edad tenía usted cuando regresó? - EDAD",3,C,a29a2_21,a29a2_21,"026...077,888,999"
"Pregunta A29B01.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque usted estaba enfermo?",1,C,a29b01_21,a29b01_21,"0,1"
"Pregunta A29B02.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque usted extrañaba a su familia?",1,C,a29b02_21,a29b02_21,"0,1"
"Pregunta A29B03.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque le fue difícil permanecer en Estados Unidos?",1,C,a29b03_21,a29b03_21,"0,1"
"Pregunta A29B04.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque era muy caro quedarse en Estados Unidos?",1,C,a29b04_21,a29b04_21,"0,1"
"Pregunta A29B05.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque no ganaba suficiente allá?",1,C,a29b05_21,a29b05_21,"0,1"
"Pregunta A29B06.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque tuvo problemas relacionados con migración?",1,C,a29b06_21,a29b06_21,"0,1"
"Pregunta A29B07.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque tuvo problemas familiares en México?",1,C,a29b07_21,a29b07_21,"0,1"
"Pregunta A29B08.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque...? - OTRA",1,C,a29b08_21,a29b08_21,"0,1"
"Pregunta A29B09.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque su situación económica o laboral se vio afectada debido a la pandemia de COVID-19?",1,C,a29b09_21,a29b09_21,"0,1"
"Pregunta A29B88.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque...? - NO RESPONDE",1,C,a29b88_21,a29b88_21,"0,1"
"Pregunta A29B99.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque...? - NO SABE",1,C,a29b99_21,a29b99_21,"0,1"
Pregunta A30.21 Registra si marcó más de una razón en A.29b,1,C,a30_21,a30_21,"1,2"
Pregunta A31.21 ¿Cuál diría usted que fue la razón principal por la que regresó?,2,C,a31_21,a31_21,"01...09,88,99"
"Pregunta A32.21 La última vez que regresó de Estados Unidos a México, ¿diría usted que su salud era...?",1,C,a32_21,a32_21,"1...5,8,9"
"Pregunta A33B.21 Durante el tiempo que estuvo en Estados Unidos, ¿alguna vez se contribuyó al sistema de seguridad social (social security) en algún trabajo, con su nombre o el de otra persona?",1,C,a33b_21,a33b_21,"1...4,8,9"
